linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,1000,0.005,0.9434065934065934,1917,66,3234,243,0
False,0.1,0.1,1000,0.01,0.9457875457875458,1971,107,3193,189,0
False,0.1,0.1,1000,0.05,0.9322344322344323,2075,285,3015,85,0
False,0.1,0.1,1000,0.1,0.9001831501831502,2097,482,2818,63,0
True,0,0,50,0.001,0.6097069597069598,29,0,3300,2131
True,0,0,50,0.005,0.6221611721611722,103,6,3294,2057
True,0,0,50,0.01,0.6304029304029304,152,10,3290,2008
True,0,0,50,0.05,0.656959706959707,340,53,3247,1820
True,0,0,50,0.1,0.6846153846153846,549,111,3189,1611
True,0,0,50,0.001,0.6195970695970696,83,0,3300,2077
True,0,0,50,0.005,0.634065934065934,170,8,3292,1990
True,0,0,50,0.01,0.6421245421245421,225,19,3281,1935
True,0,0,50,0.05,0.6613553113553113,423,112,3188,1737
True,0,0,50,0.1,0.684981684981685,632,192,3108,1528
True,0,0,50,0.001,0.6078754578754579,19,0,3300,2141
True,0,0,50,0.005,0.6194139194139194,82,0,3300,2078
True,0,0,50,0.01,0.6287545787545787,135,2,3298,2025
True,0,0,50,0.05,0.660989010989011,358,49,3251,1802
True,0,0,50,0.1,0.6897435897435897,594,128,3172,1566
True,0,0,50,0.001,0.6098901098901099,30,0,3300,2130
True,0,0,50,0.005,0.6230769230769231,105,3,3297,2055
True,0,0,50,0.01,0.6289377289377289,144,10,3290,2016
True,0,0,50,0.05,0.6542124542124542,361,89,3211,1799
True,0,0,50,0.1,0.6721611721611722,570,200,3100,1590
True,0,0,50,0.001,0.6166666666666667,67,0,3300,2093
True,0,0,50,0.005,0.6415750915750915,206,3,3297,1954
True,0,0,50,0.01,0.6536630036630037,278,9,3291,1882
True,0,0,50,0.05,0.6941391941391941,549,59,3241,1611
True,0,0,50,0.1,0.7227106227106227,779,133,3167,1381
True,0,0,50,0.001,0.6078754578754579,19,0,3300,2141
True,0,0,50,0.005,0.6152014652014652,60,1,3299,2100
True,0,0,50,0.01,0.6216117216117216,96,2,3298,2064
True,0,0,50,0.05,0.6483516483516483,288,48,3252,1872
True,0,0,50,0.1,0.6794871794871795,529,119,3181,1631
True,0,0,50,0.001,0.6058608058608059,9,1,3299,2151
True,0,0,50,0.005,0.6111721611721612,50,13,3287,2110
True,0,0,50,0.01,0.6142857142857143,77,23,3277,2083
True,0,0,50,0.05,0.639010989010989,279,90,3210,1881
True,0,0,50,0.1,0.6663003663003664,510,172,3128,1650
True,0,0,50,0.001,0.6058608058608059,8,0,3300,2152
True,0,0,50,0.005,0.6117216117216118,40,0,3300,2120
True,0,0,50,0.01,0.615018315018315,62,4,3296,2098
True,0,0,50,0.05,0.636996336996337,214,36,3264,1946
True,0,0,50,0.1,0.6595238095238095,400,99,3201,1760
True,0,0,50,0.001,0.6197802197802198,84,0,3300,2076
True,0,0,50,0.005,0.6421245421245421,209,3,3297,1951
True,0,0,50,0.01,0.654945054945055,283,7,3293,1877
True,0,0,50,0.05,0.7009157509157509,590,63,3237,1570
True,0,0,50,0.1,0.7347985347985349,852,140,3160,1308
True,0,0,50,0.001,0.6113553113553114,39,1,3299,2121
True,0,0,50,0.005,0.628021978021978,133,4,3296,2027
True,0,0,50,0.01,0.6384615384615384,198,12,3288,1962
True,0,0,50,0.05,0.6576923076923077,387,96,3204,1773
True,0,0,50,0.1,0.6822344322344323,639,214,3086,1521
True,0,0,100,0.001,0.6375457875457875,186,5,3295,1974
True,0,0,100,0.005,0.6670329670329671,359,17,3283,1801
True,0,0,100,0.01,0.6877289377289377,484,29,3271,1676
True,0,0,100,0.05,0.7507326007326007,918,119,3181,1242
True,0,0,100,0.1,0.7842490842490842,1211,229,3071,949
True,0,0,100,0.001,0.6197802197802198,85,1,3299,2075
True,0,0,100,0.005,0.6373626373626373,185,5,3295,1975
True,0,0,100,0.01,0.6547619047619048,283,8,3292,1877
True,0,0,100,0.05,0.7192307692307692,687,60,3240,1473
True,0,0,100,0.1,0.7635531135531135,1007,138,3162,1153
True,0,0,100,0.001,0.6619047619047619,318,4,3296,1842
True,0,0,100,0.005,0.6906593406593406,488,17,3283,1672
True,0,0,100,0.01,0.7086080586080585,596,27,3273,1564
True,0,0,100,0.05,0.7565934065934066,946,115,3185,1214
True,0,0,100,0.1,0.782051282051282,1174,204,3096,986
True,0,0,100,0.001,0.6408424908424908,199,0,3300,1961
True,0,0,100,0.005,0.6758241758241759,395,5,3295,1765
